"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"mobile [[number]] [[gained]] [[sum]] [[us]] mmlref [[detail]] [[send]] [[name]] [[address]] [[number]] [[email]] megaresultusacom","mobile [[behalf]] [[acquires]] [[somme]] [[we]] mmlref [[info]] [[shipping]] [[behalf]] [[deal]] [[series]] [[mailroom]] megaresultusacom",6.54458999633789e-05,0.04091143608093262,1,1,1,307,"Failed"
"[[guess]] [[somebody]] [[know]] [[secretly]] [[fancies]] wan na [[find]] [[give]] us call [[landline]] dateboxessexcmxn pmin","[[feel]] [[noone]] [[listen]] [[insidiously]] [[fancying]] wan na [[get]] [[dar]] us call [[static]] dateboxessexcmxn pmin",4.0650367736816406e-05,0.028263449668884277,1,1,1,277,"Failed"
"urgent [[call]] [[landline]] [[complimentary]] [[ibiza]] [[holiday]] [[cash]] [[await]] [[collection]] [[sae]] tcs [[po]] [[box]] sk wp ppm","urgent [[praying]] [[fixed]] [[supplementary]] [[alicante]] [[feasts]] [[moneys]] [[awaits]] [[harvests]] [[git]] tcs [[pu]] [[petri]] sk wp ppm",2.586841583251953e-05,0.0043618083000183105,1,1,1,250,"Failed"
"[[reply]] name [[address]] receive [[post]] [[weeks]] [[completely]] free [[accommodation]] [[various]] [[global]] [[locations]] php","[[react]] name [[answer]] receive [[mail]] [[month]] [[entirely]] free [[hosting]] [[alternative]] [[everywhere]] [[site]] php",4.166364669799805e-05,0.2299405336380005,1,1,1,298,"Failed"
"[[dont]] [[prize]] [[go]] another customer [[tc]] pmin [[polo]] ltd suite [[london]] wj hl please [[call]] back [[busy]]","[[theyre]] [[freebie]] [[went]] another customer [[cr]] pmin [[hoodie]] ltd suite [[uk]] wj hl please [[invited]] back [[populated]]",0.00015664100646972656,0.5051208734512329,1,0,1,211,"Successful"
"[[saturday]] [[september]] [[chase]] account [[review]] [[verification]] please visit [[link]] bitlyhmasag","[[monday]] [[jul]] [[stalks]] account [[overhaul]] [[check]] please visit [[links]] bitlyhmasag",6.288290023803711e-05,0.0010923147201538086,1,1,1,214,"Failed"
"[[sorry]] [[delivery]] [[address]] [[wrong]] [[package]] [[stopped]] please [[update]] [[address]] rebrandlyusp","[[contrite]] [[offer]] [[handled]] [[unseemly]] [[pack]] [[discontinued]] please [[updates]] [[handling]] rebrandlyusp",0.00010102987289428711,0.0373193621635437,1,1,1,294,"Failed"
"bmo [[noticed]] [[unusual]] activites [[online]] [[account]] [[required]] [[verify]] [[account]] [[details]]","bmo [[saw]] [[odd]] activites [[lnternet]] [[gl]] [[requires]] [[check]] [[gl]] [[specification]]",6.210803985595703e-05,0.5447454452514648,1,0,1,260,"Successful"
"[[new]] [[voicemail]] please [[call]]","[[nova]] [[answerphone]] please [[invited]]",8.827447891235352e-05,0.16712218523025513,1,1,1,84,"Failed"
"[[want]] [[latest]] [[video]] [[handset]] [[anytime]] [[network]] [[mins]] [[half]] [[price]] [[line]] rental [[reply]] [[call]] [[delivery]] [[tomorrow]]","[[wish]] [[update]] [[movies]] [[atrium]] [[everytime]] [[grills]] [[minutes]] [[semester]] [[charge]] [[lineup]] rental [[interventions]] [[calls]] [[provide]] [[morning]]",0.0008240342140197754,0.16455769538879395,1,1,1,271,"Failed"
"[[urgent]] [[nd]] [[attempt]] [[contact]] [[u]] £ [[prize]] [[yesterday]] [[still]] [[awaiting]] [[collection]] [[claim]] [[call]]","[[quick]] [[ind]] [[wants]] [[inform]] [[umm]] £ [[prices]] [[weekend]] [[then]] [[waiting]] [[collections]] [[say]] [[invite]]",2.1696090698242188e-05,0.030199527740478516,1,1,1,351,"Failed"
"[[endless]] [[fun]] [[sultry]] [[girls]] [[explicit]] game ever tinyurlcomkelseygame","[[indescribable]] [[hoot]] [[enticing]] [[broads]] [[unequivocal]] game ever tinyurlcomkelseygame",5.1975250244140625e-05,0.0002868771553039551,1,1,1,173,"Failed"
