"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"[[missed]] call alert [[numbers]] called left [[message]]","[[neglects]] call alert [[nouns]] called left [[ads]]",0.00012105703353881836,0.5424565076828003,1,0,1,108,"Successful"
"[[u]] [[secret]] [[admirer]] [[reveal]] thinks [[u]] [[r]] [[special]] call opt cust [[care]]","[[umm]] [[underground]] [[fans]] [[lanza]] thinks [[umm]] [[rupees]] [[own]] call opt cust [[zorg]]",2.3484230041503906e-05,0.5978034734725952,1,0,1,96,"Successful"
"ur mobile [[number]] [[crores]] [[lakh]] [[rupees]] [[chevrolet]] [[motors]] [[award]] [[claim]] [[send]] [[name]] [[phone]] [[number]] [[address]] [[age]] to�emailchevmotorlondonhotmailcom","ur mobile [[numbers]] [[millions]] [[crore]] [[crores]] [[subaru]] [[che]] [[allowance]] [[calls]] [[mailing]] [[sake]] [[telephone]] [[serials]] [[solution]] [[elder]] to�emailchevmotorlondonhotmailcom",2.2351741790771484e-05,0.23988384008407593,1,1,1,393,"Failed"
"todays voda [[numbers]] [[ending]] [[selected]] [[receive]] [[award]] [[match]] please [[call]] [[quoting]] [[claim]] [[code]] [[standard]] [[rates]] [[app]]","todays voda [[volumes]] [[discontinued]] [[selections]] [[earn]] [[prices]] [[equalize]] please [[vocation]] [[arguing]] [[calls]] [[scrambling]] [[lambda]] [[cadence]] [[apt]]",1.9431114196777344e-05,0.21157562732696533,1,1,1,393,"Failed"
"[[urgent]] [[costa]] [[del]] [[sol]] [[holiday]] £ [[await]] [[collection]] [[call]] toclaim [[sae]] [[tc]] pobox [[stockport]] skxh [[cost]]£pm maxmins","[[rapid]] [[charges]] [[di]] [[territory]] [[thanksgiving]] £ [[pending]] [[compile]] [[asking]] toclaim [[cas]] [[ct]] pobox [[millwall]] skxh [[charging]]£pm maxmins",1.6927719116210938e-05,0.2739715576171875,1,1,1,328,"Failed"
"[[carrier]] deliver [[package]] address [[detailed]] please [[update]] address details uspalterigtinfowte","[[teleporter]] deliver [[tracts]] address [[circumspect]] please [[refresh]] address details uspalterigtinfowte",0.00010699033737182617,0.7803363800048828,1,0,1,113,"Successful"
"want anytime network mins text new video [[phone]] five pounds per week call [[reply]] [[delivery]] [[tomorrow]]","want anytime network mins text new video [[calls]] five pounds per week call [[overreaction]] [[implement]] [[morgen]]",0.0011017918586730957,0.6810848712921143,1,0,1,106,"Successful"
"[[urgent]] mobile [[number]] [[awarded]] inr [[prize]] [[guaranteed]] [[call]] [[land]] line [[claim]] [[valid]] hrs","[[quick]] mobile [[quantum]] [[assigning]] inr [[recompense]] [[protects]] [[appeal]] [[field]] line [[dunning]] [[true]] hrs",1.5795230865478516e-05,0.9295746684074402,1,0,1,282,"Successful"
"tried contact reply offer mins textand new video [[phone]] call reply free [[delivery]] [[tomorrow]]","tried contact reply offer mins textand new video [[calls]] call reply free [[execution]] [[morgen]]",0.00026679039001464844,0.6516709327697754,1,0,1,75,"Successful"
"[[urgent]] [[urgent]] [[free]] flights [[europe]] [[give]] [[away]] call [[b]] [[th]] [[sept]] take [[friend]] [[free]] [[call]] [[claim]] bannfwflyppm","[[rapid]] [[quick]] [[rid]] flights [[euros]] [[provides]] [[out]] call [[segundo]] [[que]] [[sep]] take [[schoolmates]] [[rid]] [[telephoning]] [[calls]] bannfwflyppm",7.331371307373047e-05,0.60926353931427,1,0,1,254,"Successful"
"[[dear]] customeruve [[selected]] [[stay]] fve [[star]] [[hotels]] tdays [[draw]] [[holiday]] [[valued]] inr dial [[claim]]","[[invaluable]] customeruve [[click]] [[residing]] fve [[sing]] [[cinemas]] tdays [[attract]] [[shindig]] [[utility]] inr dial [[demand]]",1.8656253814697266e-05,0.1587790846824646,1,1,1,245,"Failed"
"[[urgent]] [[important]] [[information]] user [[today]] [[lucky]] [[day]] find [[log]] onto fantastic [[surprise]] [[awaiting]]","[[rapid]] [[imperative]] [[notification]] user [[sonntag]] [[happiest]] [[jours]] find [[registry]] onto fantastic [[blitz]] [[wait]]",1.5854835510253906e-05,0.9711438417434692,1,0,1,234,"Successful"
"[[call]] freephone","[[dawa]] freephone",0.01204770803451538,0.05153387784957886,1,1,1,53,"Failed"
"[[mg]] [[fed]]ril [[return]] wsbn [[irs]] dont [[worry]] help fx click slutacidspp","[[milliliters]] [[nurtured]]ril [[refund]] wsbn [[pi]] dont [[trepidation]] help fx click slutacidspp",2.014636993408203e-05,0.8616760969161987,1,0,1,124,"Successful"
"regionsbank [[team]] [[locked]] debit [[july]] [[th]] please [[visit]] regionsprotectcom [[unlock]] [[reply]] [[stop]] [[opt]]","regionsbank [[cluster]] [[blocking]] debit [[janvier]] [[ht]] please [[trip]] regionsprotectcom [[fath]] [[responds]] [[lugs]] [[select]]",5.233287811279297e-05,0.7337141036987305,1,0,1,297,"Successful"
"want new video phone anytime network mins half [[price]] line rental free text months [[reply]] [[call]] free [[delivery]]","want new video phone anytime network mins half [[charges]] line rental free text months [[solutions]] [[dawa]] free [[birthing]]",0.02024686336517334,0.5801925659179688,1,0,1,122,"Successful"
"private [[account]] [[statement]] [[shows]] unredeemed [[bonus]] [[points]] [[claim]] [[call]] identifier [[code]] [[expires]]","private [[accounting]] [[discourses]] [[illustrate]] unredeemed [[satisfaction]] [[topics]] [[argue]] [[plea]] identifier [[crypto]] [[matures]]",2.664327621459961e-05,0.4794917106628418,1,1,1,301,"Failed"
"[[congratulations]] [[entry]] [[contest]] last month made winner goto claim [[prize]] hours [[claim]]","[[thanks]] [[intro]] [[compete]] last month made winner goto claim [[winners]] hours [[allege]]",2.1159648895263672e-05,0.9803181886672974,1,0,1,199,"Successful"
"amazon account locked recently [[received]] multiple [[failed]] [[login]] [[attempts]] [[account]] [[recovery]] account immediately [[click]] [[link]] bellow please [[take]] action account within hours avoid permanent [[suspension]] [[regards]] amazon service","amazon account locked recently [[get]] multiple [[wasted]] [[passwords]] [[strove]] [[accounts]] [[rebounds]] account immediately [[select]] [[contacting]] bellow please [[bringing]] action account within hours avoid permanent [[harford]] [[thinks]] amazon service",0.10458827018737793,0.5209426879882812,1,0,1,329,"Successful"
"[[urgent]] [[trying]] [[contact]] u todays [[draw]] shows £ [[prize]] [[guaranteed]] [[call]] [[land]] [[line]] [[claim]] [[valid]] [[hrs]]","[[quick]] [[strove]] [[liaison]] u todays [[attractions]] shows £ [[costing]] [[gage]] [[urge]] [[soils]] [[lineup]] [[ask]] [[good]] [[hours]]",1.800060272216797e-05,0.18055349588394165,1,1,1,363,"Failed"
"[[urgent]] [[trying]] [[contact]] [[last]] [[weekends]] [[draw]] shows £ [[prize]] [[guaranteed]] [[call]] [[claim]] [[code]] [[valid]] [[hrs]]","[[quick]] [[strove]] [[communications]] [[latest]] [[afternoons]] [[attract]] shows £ [[costing]] [[ensure]] [[urge]] [[dunning]] [[coding]] [[profitable]] [[hour]]",2.276897430419922e-05,0.1417565941810608,1,1,1,353,"Failed"
"[[unique]] [[user]] id [[removal]] send [[stop]] customer services","[[farid]] [[customer]] id [[eliminates]] send [[lugs]] customer services",0.00018638372421264648,0.6862720251083374,1,0,1,163,"Successful"
"free [[courses]]","free [[cycles]]",0.000569462776184082,0.9970932602882385,1,0,1,17,"Successful"
"[[discount]] [[code]] [[rp]] stop messages reply stop [[customer]] services","[[redemption]] [[cipher]] [[pdr]] stop messages reply stop [[subscriber]] services",0.0003934502601623535,0.5005371570587158,1,0,1,79,"Successful"
"[[u]] [[secret]] [[admirer]] [[looking]] [[make]] [[contact]] ufind rreveal [[thinks]] ur specialcall stopsms","[[ni]] [[unlisted]] [[believer]] [[frisk]] [[produce]] [[phoning]] ufind rreveal [[contemplation]] ur specialcall stopsms",1.823902130126953e-05,0.7110776901245117,1,0,1,193,"Successful"
"[[unable]] [[process]] latest bill order avoid [[fees]] update billing information via","[[capable]] [[addressing]] latest bill order avoid [[spending]] update billing information via",9.28044319152832e-05,0.7757725715637207,1,0,1,117,"Successful"
"[[u]] [[secret]] [[admirer]] [[looking]] [[make]] [[contact]] ufind rreveal [[thinks]] ur specialcall stopsms","[[ni]] [[unlisted]] [[believer]] [[frisk]] [[produce]] [[phoning]] ufind rreveal [[contemplation]] ur specialcall stopsms",1.823902130126953e-05,0.7110776901245117,1,0,1,193,"Successful"
"[[congratulations]] [[ur]] awarded either £ [[cd]] [[gift]] [[vouchers]] free entry £ [[weekly]] draw txt [[music]] tncs","[[kudos]] [[thats]] awarded either £ [[disks]] [[goku]] [[banknotes]] free entry £ [[monthly]] draw txt [[lok]] tncs",2.664327621459961e-05,0.9429470896720886,1,0,1,155,"Successful"
"[[p]] [[made]] holidays fun buy [[hp]] [[pavilion]] notebook get kodak [[camera]] shoot share [[tc]] apply hp [[world]] woc [[rd]]","[[w]] [[played]] holidays fun buy [[ps]] [[ward]] notebook get kodak [[bedroom]] shoot share [[td]] apply hp [[welt]] woc [[dre]]",3.62396240234375e-05,0.9792980551719666,1,0,1,140,"Successful"
