"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"[[cds]] [[u]] [[congratulations]] [[ur]] [[awarded]] £ [[cd]] gift [[vouchers]] £ [[gift]] [[guaranteed]] freeentry £ wkly [[draw]] xt [[music]] tncs","[[disk]] [[ou]] [[thanks]] [[ther]] [[delivered]] £ [[disk]] gift [[pamphlets]] £ [[knack]] [[bumpers]] freeentry £ wkly [[bringing]] xt [[guitar]] tncs",2.1159648895263672e-05,0.3843802809715271,1,1,1,248,"Failed"
"usps package delivered due [[wrong]] [[delivery]] [[address]] please change [[correct]] [[delivery]] [[address]] following [[url]] [[reply]] click link [[inquire]]","usps package delivered due [[bad]] [[offering]] [[resolutions]] please change [[true]] [[render]] [[resolutions]] following [[http]] [[replies]] click link [[ask]]",0.00010704994201660156,0.5638812780380249,1,0,1,274,"Successful"
"[[congratulations]] due covid grant redeemcontact us via email covidgrantcokegrantcom","[[thankyou]] due covid grant redeemcontact us via email covidgrantcokegrantcom",0.01102292537689209,0.9569369554519653,1,0,1,58,"Successful"
"drop thirty pounds less thirty days see try absolutely cost remedyfrcomindexphpkeydjqpwgdauzcszhrjwbmsgg","drop thirty pounds less thirty days see try absolutely cost remedyfrcomindexphpkeydjqpwgdauzcszhrjwbmsgg",0.9995389580726624,0.9995389580726624,0,0,1,1,"Skipped"
"otc entire store [[valid]] today voted store reply stop end","otc entire store [[decent]] today voted store reply stop end",0.0983092188835144,0.5223170518875122,1,0,1,53,"Successful"
"frm smsidiymvqit msgnetflix refunding remaining time [[claim]] hr smsidiymvqit","frm smsidiymvqit msgnetflix refunding remaining time [[say]] hr smsidiymvqit",0.11597937345504761,0.997857391834259,1,0,1,50,"Successful"
"[[urgent]] dear flpkart customer trying contact last weekends draw shows wn [[rs]] [[prize]] [[guaranteed]] [[call]] [[claim]] [[code]] lucky valid hrs","[[quick]] dear flpkart customer trying contact last weekends draw shows wn [[s]] [[freebie]] [[sure]] [[asks]] [[ask]] [[cypher]] lucky valid hrs",1.2040138244628906e-05,0.5434626340866089,1,0,1,172,"Successful"
"netflix payment completed keep access service update payment method please visit","netflix payment completed keep access service update payment method please visit",0.9772194623947144,0.9772194623947144,0,0,1,1,"Skipped"
"todays vodafone [[numbers]] [[ending]] [[selected]] [[receive]] [[rs]] [[award]] [[match]] please [[call]] [[quoting]] [[claim]] [[code]] [[standard]] [[rates]] [[apply]]","todays vodafone [[finger]] [[discontinued]] [[option]] [[earn]] [[s]] [[prices]] [[paired]] please [[dialling]] [[alluding]] [[calls]] [[codes]] [[switchboard]] [[speeds]] [[applications]]",1.3709068298339844e-05,0.30531197786331177,1,1,1,429,"Failed"
"[[great]] news [[call]] freefone [[claim]] [[guaranteed]] £ [[cash]] £ [[gift]] [[speak]] live [[operator]]","[[awesome]] news [[asking]] freefone [[asking]] [[gage]] £ [[money]] £ [[donation]] [[talk]] live [[operating]]",0.00017911195755004883,0.43063706159591675,1,1,1,324,"Failed"
"[[tax]] refund � ready [[claimed]] access refund follow steps [[required]] httpbitdoclaimtax","[[charge]] refund � ready [[pled]] access refund follow steps [[ask]] httpbitdoclaimtax",0.0013082027435302734,0.8113701343536377,1,0,1,121,"Successful"
"please [[call]] [[customer]] service [[representative]] freephone ampm [[guaranteed]] £ [[cash]] £ [[prize]]","please [[ask]] [[subscribers]] service [[delegated]] freephone ampm [[incidental]] £ [[funding]] £ [[cost]]",1.7762184143066406e-05,0.009692549705505371,1,1,1,180,"Failed"
"englishvocabulary ululate mourn loudly shrilly ad unlimited free calls mobile try today share wid frnd","englishvocabulary ululate mourn loudly shrilly ad unlimited free calls mobile try today share wid frnd",0.712651252746582,0.712651252746582,0,0,1,1,"Skipped"
"atm blockdear [[customer]] due [[system]] [[upgrade]] atm card blcked [[reactivate]] [[call]] customer [[care]] help","atm blockdear [[shoppers]] due [[diets]] [[modern]] atm card blcked [[resurrected]] [[require]] customer [[empathy]] help",2.1696090698242188e-05,0.5950514078140259,1,0,1,177,"Successful"
"dear [[customer]] pyatm [[wallet]] booked hold [[amount]] please complete kyc contact customer [[care]]","dear [[shoppers]] pyatm [[saddlebags]] booked hold [[moneys]] please complete kyc contact customer [[loving]]",2.2232532501220703e-05,0.9562929272651672,1,0,1,113,"Successful"
"usps package arrived [[warehouse]] could delivered due incomplete address information please [[confirm]] address [[link]] please reply exit text message open [[activate]] link copy link open safari [[browser]]","usps package arrived [[store]] could delivered due incomplete address information please [[emphasize]] address [[connectivity]] please reply exit text message open [[trigger]] link copy link open safari [[navigator]]",0.03537857532501221,0.5203211307525635,1,0,1,205,"Successful"
"vehicle driver historyhas [[updated]] ryxdiscod","vehicle driver historyhas [[freshen]] ryxdiscod",0.0015613436698913574,0.989806056022644,1,0,1,32,"Successful"
"goldviking inviting friend reply yes see stop send stop frnd","goldviking inviting friend reply yes see stop send stop frnd",0.9921963214874268,0.9921963214874268,0,0,1,1,"Skipped"
"todays vodafone [[numbers]] [[ending]] [[selected]] [[receive]] [[rs]] [[award]] [[match]] please [[call]] [[quoting]] [[claim]] [[code]] [[standard]] [[rates]] [[apply]]","todays vodafone [[finger]] [[discontinued]] [[option]] [[earn]] [[s]] [[prices]] [[paired]] please [[dialling]] [[alluding]] [[calls]] [[codes]] [[switchboard]] [[speeds]] [[applications]]",1.3709068298339844e-05,0.30531197786331177,1,1,1,429,"Failed"
"win £ [[cash]] [[prize]] [[prize]] worth £","win £ [[money]] [[prix]] [[prix]] worth £",0.002668142318725586,0.7979876399040222,1,0,1,107,"Successful"
"[[gent]] [[trying]] [[contact]] [[last]] [[weekends]] [[draw]] [[shows]] £ [[prize]] [[guaranteed]] call [[claim]] [[code]] k [[valid]] [[hrs]] ppm","[[dandy]] [[try]] [[calling]] [[ultimate]] [[weekend]] [[attract]] [[show]] £ [[freebie]] [[bumpers]] call [[calls]] [[cypher]] k [[true]] [[afternoon]] ppm",1.1563301086425781e-05,0.2477385401725769,1,1,1,366,"Failed"
"receive tax [[refund]] process due incomplete [[personal]] [[information]] order expedite processing [[refund]] avoid [[potential]] [[delays]] [[penalties]] please provide accurate [[personal]] [[information]] [[immediately]] [[ensure]] [[precise]] [[payment]] [[deadline]] [[november]] please [[reply]] [[exit]] [[message]] [[reopen]] [[message]] [[activate]] [[link]] [[copy]] [[link]] open safari [[browser]] thank [[cooperation]] [[sincerely]]","receive tax [[returns]] process due incomplete [[individual]] [[data]] order expedite processing [[payout]] avoid [[likely]] [[schedules]] [[penalty]] please provide accurate [[individual]] [[report]] [[easily]] [[guaranteeing]] [[actual]] [[payer]] [[expiry]] [[october]] please [[answer]] [[egress]] [[msg]] [[fath]] [[mails]] [[lets]] [[related]] [[versions]] [[rapport]] open safari [[finder]] thank [[trabajo]] [[frankly]]",0.014732599258422852,0.5194072127342224,1,0,1,1027,"Successful"
"nokia take part send nokia hgsuitelands rowwjhl","nokia take part send nokia hgsuitelands rowwjhl",0.999747633934021,0.999747633934021,0,0,1,1,"Skipped"
"please call immediately [[urgent]] [[message]] waiting","please call immediately [[hurry]] [[msg]] waiting",3.93986701965332e-05,0.9665842652320862,1,0,1,75,"Successful"
"access amazon account limited due unusual activity [[login]] [[blocked]] [[device]] [[mobile]] safari iphone os [[restore]] [[account]] click [[link]] [[verify]] [[account]] within [[hours]] [[amaz]]","access amazon account limited due unusual activity [[checkin]] [[blocking]] [[mechanics]] [[notepad]] safari iphone os [[resetting]] [[bookkeeping]] click [[rapport]] [[ticked]] [[bookkeeping]] within [[spells]] [[beautif]]",0.00017070770263671875,0.5970848798751831,1,0,1,353,"Successful"
"nationwide [[noticed]] debit card recently used apple online store gbp please [[urgently]] [[call]] [[fraud]] preventaion intl reply sms","nationwide [[seen]] debit card recently used apple online store gbp please [[fast]] [[invite]] [[frode]] preventaion intl reply sms",0.00015425682067871094,0.8319929242134094,1,0,1,124,"Successful"
"usps [[package]] arrived [[warehouse]] [[delivered]] due [[incomplete]] [[address]] [[information]] please [[confirm]] [[address]] [[link]] please [[reply]] [[exit]] thesms [[open]] sms activationlink [[copy]] [[link]] tosafari browser open us postal [[team]] wishesyou [[wonderful]] [[day]]","usps [[packaged]] arrived [[storehouse]] [[shipped]] due [[partial]] [[handling]] [[info]] please [[emphasize]] [[resolutions]] [[connectivity]] please [[answer]] [[outing]] thesms [[openness]] sms activationlink [[versions]] [[related]] tosafari browser open us postal [[pcs]] wishesyou [[awesome]] [[dating]]",0.005081892013549805,0.5677217245101929,1,0,1,556,"Successful"
"mila age [[blonde]] new uk [[look]] [[sex]] uk [[guys]] u like [[fun]] [[text]] mtalk pptxt [[st]] free £ [[increments]] help","mila age [[girlfriend]] new uk [[listen]] [[homosexuality]] uk [[dawgs]] u like [[hoot]] [[schoolbooks]] mtalk pptxt [[tk]] free £ [[grows]] help",3.349781036376953e-05,0.6176820993423462,1,0,1,237,"Successful"
"private [[account]] [[statement]] [[shows]] unredeemed [[bonus]] [[points]] [[claim]] [[call]] identifier code [[expires]]","private [[bookkeeping]] [[discourses]] [[showings]] unredeemed [[gratuity]] [[questions]] [[say]] [[summoning]] identifier code [[matures]]",1.6808509826660156e-05,0.0006189942359924316,1,1,1,301,"Failed"
"dear sir bank card [[blocked]] [[updated]] yet want update atm card please contact","dear sir bank card [[hobbled]] [[moderne]] yet want update atm card please contact",0.0003923773765563965,0.9264113903045654,1,0,1,80,"Successful"
"freemsg todays day ready im live town love sex fun games netcollex [[ltd]] p per msg reply stop end","freemsg todays day ready im live town love sex fun games netcollex [[narrow]] p per msg reply stop end",0.1383952498435974,0.7188395261764526,1,0,1,21,"Successful"
"uw ing bankieren app bevat verouderde plugins klik hieronder om de beveiligde versie te downloaden","uw ing bankieren app bevat verouderde plugins klik hieronder om de beveiligde versie te downloaden",0.9961778521537781,0.9961778521537781,0,0,1,1,"Skipped"
"dear vdafne customeryou [[winner]] [[guaranteed]] [[caller]] [[prize]] [[final]] attempt [[contact]] [[claim]] call","dear vdafne customeryou [[win]] [[assuring]] [[pastor]] [[fellowship]] [[yesteryear]] attempt [[ties]] [[ask]] call",1.609325408935547e-05,0.9826646447181702,1,0,1,218,"Successful"
"[[winner]] [[u]] [[specially]] [[selected]] [[receive]] £ [[holiday]] [[flights]] [[inc]] speak live [[operator]] [[claim]] pmin","[[win]] [[umm]] [[notably]] [[took]] [[enjoys]] £ [[festivals]] [[shoplift]] [[ltd]] speak live [[motorman]] [[ask]] pmin",1.1682510375976562e-05,0.6717445850372314,1,0,1,247,"Successful"
"[[receive]] [[tax]] [[refund]] [[process]] due [[incomplete]] [[personal]] [[information]] please confirm information link please reply exit sms open sms [[activation]] [[link]] copy [[link]] open safari [[browser]] [[mission]] [[irs]] help [[american]] [[taxpayers]] [[understand]] [[meet]] [[tax]] [[obligations]] [[provide]] [[highest]] [[quality]] [[service]]","[[enjoy]] [[charging]] [[payback]] [[cure]] due [[sketchy]] [[moveable]] [[informations]] please confirm information link please reply exit sms open sms [[trigger]] [[fasten]] copy [[tie]] open safari [[marine]] [[remit]] [[pri]] help [[usa]] [[payers]] [[knowledge]] [[answer]] [[taxes]] [[liability]] [[introduces]] [[bigger]] [[caliber]] [[serve]]",2.193450927734375e-05,0.5145320892333984,1,0,1,607,"Successful"
"chance reality [[fantasy]] show [[call]] p per min ntt ltd po box croydon cr wb national rate call","chance reality [[fantasies]] show [[drew]] p per min ntt ltd po box croydon cr wb national rate call",0.1221318244934082,0.6706382036209106,1,0,1,97,"Successful"
"usps package arrived [[warehouse]] delivered due [[incomplete]] address information please [[confirm]] address [[link]] within hours please reply exit sms open sms activation [[link]] copy link safari [[browser]] open us postal team wishes [[wonderful]] [[day]]","usps package arrived [[drugstore]] delivered due [[unfinished]] address information please [[attest]] address [[connect]] within hours please reply exit sms open sms activation [[contact]] copy link safari [[navigate]] open us postal team wishes [[formidable]] [[nowadays]]",0.05709540843963623,0.6743260622024536,1,0,1,250,"Successful"
"[[urgent]] message cibc account [[holder]] kindly login secure server check information� pianostudiocomcibcfullzinternet support","[[fast]] message cibc account [[landowners]] kindly login secure server check information� pianostudiocomcibcfullzinternet support",0.00021404027938842773,0.7440296411514282,1,0,1,59,"Successful"
"please [[call]] customer service representative ampm wn [[guaranteed]] [[cash]] [[prize]] rs flpkart [[team]]","please [[ask]] customer service representative ampm wn [[bumpers]] [[crate]] [[freebie]] rs flpkart [[squads]]",7.927417755126953e-06,0.9545209407806396,1,0,1,192,"Successful"
"[[guaranteed]] £ [[award]] even £ cashto [[claim]] [[ur]] [[award]] [[call]] free stop getstop [[php]] [[rg]] jx","[[surety]] £ [[allot]] even £ cashto [[say]] [[thier]] [[donations]] [[asks]] free stop getstop [[pha]] [[gr]] jx",4.1961669921875e-05,0.9970822334289551,1,0,1,211,"Successful"
"dont forget place many free requests stchoicecouk wish information [[call]]","dont forget place many free requests stchoicecouk wish information [[ask]]",0.13972234725952148,0.999710202217102,1,0,1,61,"Successful"
"chase [[bank]] [[alert]] [[detected]] unusual [[attempt]] mall dr unit obo [[jersey]] [[city]] nj please [[use]] [[secured]] [[link]] [[verify]] [[identity]] [[secure]] [[account]]","chase [[shore]] [[alerts]] [[find]] unusual [[pursuing]] mall dr unit obo [[sweatshirt]] [[metropolis]] nj please [[using]] [[security]] [[contacted]] [[policed]] [[branding]] [[convinced]] [[bookkeeper]]",0.00011289119720458984,0.5132113695144653,1,0,1,445,"Successful"
"free entry grprizes wkly comp chance win latest nokia psp £ cash every wktxt great http","free entry grprizes wkly comp chance win latest nokia psp £ cash every wktxt great http",0.9969713091850281,0.9969713091850281,0,0,1,1,"Skipped"
"free gift waiting collected simply call","free gift waiting collected simply call",0.9696361422538757,0.9696361422538757,0,0,1,1,"Skipped"
"[[important]] [[message]] [[final]] [[contact]] [[attempt]] [[important]] [[messages]] [[waiting]] [[customer]] [[claims]] [[dept]] [[expires]] [[call]]","[[salient]] [[notification]] [[last]] [[interacts]] [[wants]] [[main]] [[notifications]] [[wait]] [[users]] [[petitions]] [[peel]] [[terminates]] [[phone]]",3.2782554626464844e-05,0.07039546966552734,1,1,1,455,"Failed"
"last chance [[claim]] ur £ worth discount [[vouchers]] today text shop savamob offers mobile [[cs]] savamob pobox muz £ sub","last chance [[ask]] ur £ worth discount [[coupon]] today text shop savamob offers mobile [[sm]] savamob pobox muz £ sub",0.006086468696594238,0.6730222702026367,1,0,1,92,"Successful"
"want new video phone anytime network mins inclusive video calls downloads per week free deltomorrow call reply","want new video phone anytime network mins inclusive video calls downloads per week free deltomorrow call reply",0.9865251779556274,0.9865251779556274,0,0,1,1,"Skipped"
"[[dear]] paytm [[customer]] paytm kyc [[expired]] [[contact]] [[customer]] [[care]] [[immediately]] [[account]] [[block]] within hr thank paytm [[team]]","[[invaluable]] paytm [[purchaser]] paytm kyc [[overcomes]] [[inform]] [[abusers]] [[health]] [[instantly]] [[count]] [[forestall]] within hr thank paytm [[equipments]]",3.921985626220703e-05,0.0012363791465759277,1,1,1,296,"Failed"
